id,word,translation,transcription,audioText,category,difficulty,mnemonic_short,mnemonic_full,example_en,example_ru,work_example_en,work_example_ru,image,status,review_stage,error_count,created_at
"basic-task","task","задача","/tɑːsk/","task","Basic A1","easy","Task — это таск, рабочая задача. Представь карточку в списке дел: task = задача.","Task — это таск, рабочая задача. Представь карточку в списке дел: task = задача.","This task is easy.","Эта задача простая.","My first task is to fix the footer.","Моя первая задача — исправить футер.","✅","new","0","0","2026-01-13"
"webflow-section","section","секция","/ˈsekʃn/","section","Webflow","easy","Section — это секция, кусок страницы.","Section — это секция, кусок страницы.","This section is short.","Эта секция короткая.","The hero section needs more spacing.","Hero-секции нужно больше отступов.","📚","new","0","0","2026-01-14"
"webflow-container","container","контейнер","/kənˈteɪnə(r)/","container","Webflow","easy","Container — это контейнер, блок для содержимого.","Container — это контейнер, блок для содержимого.","The container is wide.","Контейнер широкий.","Set the container max width to 1200 pixels.","Поставь контейнеру максимальную ширину 1200 пикселей.","📦","new","0","0","2026-01-15"
"webflow-grid","grid","сетка","/ɡrɪd/","grid","Webflow","easy","Grid напоминает решётку, то есть сетку.","Grid напоминает решётку, то есть сетку.","The grid has two columns.","У сетки две колонки.","Use a grid for the team cards.","Используй сетку для карточек команды.","🔲","new","0","0","2026-01-16"
"webflow-class","class","класс","/klɑːs/","class","Webflow","easy","Class — тот самый CSS-класс.","Class — тот самый CSS-класс.","This class is new.","Этот класс новый.","Rename the class before you publish the page.","Переименуй класс перед публикацией страницы.","🏷️","new","0","0","2026-01-17"
"webflow-publish","publish","публиковать","/ˈpʌblɪʃ/","publish","Webflow","easy","Publish похоже на «паблиш» — выпустить наружу. Представь кнопку Publish, после которой страница выходит в интернет: publish = опубликовать.","Publish похоже на «паблиш» — выпустить наружу. Представь кнопку Publish, после которой страница выходит в интернет: publish = опубликовать.","We publish today.","Мы публикуем сегодня.","Do not publish before the client review.","Не публикуй до проверки клиента.","🚀","new","0","0","2026-01-18"
"webflow-breakpoint","breakpoint","брейкпоинт","/ˈbreɪkpɔɪnt/","breakpoint","Webflow","easy","Breakpoint — точка, где макет «ломается» на другой размер.","Breakpoint — точка, где макет «ломается» на другой размер.","The tablet breakpoint is active.","Планшетный брейкпоинт активен.","Check the tablet breakpoint before handoff.","Проверь планшетный брейкпоинт перед сдачей.","📱","new","0","0","2026-01-19"
"webflow-component","component","компонент","/kəmˈpəʊnənt/","component","Webflow","easy","Component — часть интерфейса, компонент.","Component — часть интерфейса, компонент.","This component is small.","Этот компонент маленький.","Make the card a reusable component.","Сделай карточку переиспользуемым компонентом.","🧩","new","0","0","2026-01-20"
"webflow-interaction","interaction","анимация; интеракция","/ˌɪntərˈækʃn/","interaction","Webflow","easy","Interaction — это то, как элемент реагирует на действие.","Interaction — это то, как элемент реагирует на действие.","The interaction is smooth.","Анимация плавная.","Add a hover interaction to the CTA button.","Добавь hover-анимацию на CTA-кнопку.","✨","new","0","0","2026-01-21"
"webflow-navbar","navbar","панель навигации","/ˈnævbɑː(r)/","navbar","Webflow","easy","Navbar = navigation bar, полоса навигации.","Navbar = navigation bar, полоса навигации.","The navbar is fixed.","Навбар закреплён.","The navbar logo is too small on desktop.","Логотип в навбаре слишком маленький на десктопе.","🧭","new","0","0","2026-01-22"
"webflow-collection","collection","коллекция","/kəˈlekʃn/","collection","Webflow","easy","Collection — это набор элементов, коллекция.","Collection — это набор элементов, коллекция.","The collection is empty.","Коллекция пустая.","Connect the blog card to the CMS collection.","Подключи карточку блога к CMS-коллекции.","🗂️","new","0","0","2026-01-23"
"webflow-cms","CMS","CMS","/ˌsiː.emˈes/","C M S","Webflow","easy","CMS запоминай как три буквы панели, где клиент меняет тексты и карточки. Представь таблицу с постами и отзывами: CMS = система управления контентом.","CMS запоминай как три буквы панели, где клиент меняет тексты и карточки. Представь таблицу с постами и отзывами: CMS = система управления контентом.","The CMS is simple.","CMS простая.","The client edits testimonials in the CMS.","Клиент редактирует отзывы в CMS.","🗃️","new","0","0","2026-01-24"
"webflow-slug","slug","адресный идентификатор","/slʌɡ/","slug","Webflow","easy","Slug представь как короткий хвост URL. Это маленькое имя страницы в адресной строке: slug = адресный идентификатор.","Slug представь как короткий хвост URL. Это маленькое имя страницы в адресной строке: slug = адресный идентификатор.","The slug is short.","Slug короткий.","Change the blog post slug before launch.","Измени slug поста до запуска.","🔠","new","0","0","2026-01-25"
"webflow-style","style","стиль","/staɪl/","style","Webflow","easy","Style почти как «стайл». Представь, что копируешь стиль кнопки со страницы: style = стиль.","Style почти как «стайл». Представь, что копируешь стиль кнопки со страницы: style = стиль.","This style is clean.","Этот стиль чистый.","Copy the button style from the main page.","Скопируй стиль кнопки с главной страницы.","🎛️","new","0","0","2026-01-26"
"design-layout","layout","макет; компоновка","/ˈleɪaʊt/","layout","Design","easy","Layout звучит как «лейаут». Представь разложенные блоки страницы: кто где стоит, тот и layout = макет.","Для слова Layout [ˈleɪaʊt] лучше всего работает разбор по смыслу: это то, как всё разложено на экране.

Фонетическая привязка:
- LAY OUT: Разбей слово на lay + out: как будто ты раскладываешь блоки страницы по местам.
- ЛЕЙАУТ: Запомни рабочее звучание «лейаут» как готовое слово про макет и компоновку.

Сюжет / Фраза: Ты смотришь на экран сверху и раскладываешь header, hero, карточки и footer по местам. Это и есть layout.

Визуальный образ: Представь пустую страницу, на которую ты по очереди выставляешь секции, колонки и кнопки, как мебель в комнате.

Связка (Mobile layout): Представь отдельно десктопный и мобильный экран. Mobile layout = мобильный макет.

Рабочий контекст: Layout — одно из самых частых слов в дизайне и Webflow: так называют общую структуру страницы.","The layout is clean.","Макет аккуратный.","The mobile layout needs one more row.","Мобильному макету нужна ещё одна строка.","📐","new","0","0","2026-01-27"
"design-spacing","spacing","отступы","/ˈspeɪsɪŋ/","spacing","Design","easy","Spacing связано со словом space. Представь воздух между карточками: spacing = отступы.","Для слова Spacing [ˈspeɪsɪŋ] лучше всего работает связь со словом space — пространство.

Фонетическая привязка:
- SPACE: Представь воздух между блоками, кнопками и строками. Это и есть spacing.
- СПЕЙСИНГ: Запомни профессиональное звучание «спейсинг» как систему отступов в интерфейсе.

Сюжет / Фраза: Если карточки слиплись, spacing плохой. Если между ними появился воздух, интерфейс сразу стал чище.

Визуальный образ: Представь три карточки, между которыми почти нет места. Ты увеличиваешь расстояние, и экран сразу начинает дышать.

Связка (More spacing): Представь задачу дизайнера: “Add more spacing between cards”. More spacing = больше отступов.

Рабочий контекст: Spacing — одно из ключевых рабочих слов, когда обсуждают аккуратность, ритм и читаемость интерфейса.","The spacing looks nice.","Отступы выглядят хорошо.","Increase the spacing between cards.","Увеличь отступы между карточками.","↔️","new","0","0","2026-01-28"
"design-contrast","contrast","контраст","/ˈkɒntrɑːst/","contrast","Design","easy","Contrast — это разница между светлым и тёмным. Представь белый текст на чёрном фоне: contrast = контраст.","Contrast — это разница между светлым и тёмным. Представь белый текст на чёрном фоне: contrast = контраст.","The contrast is low.","Контраст низкий.","The text contrast is weak on the hero image.","Контраст текста на hero-изображении слабый.","⚫","new","0","0","2026-02-01"
"design-align","align","выравнивать","/əˈlaɪn/","align","Design","easy","Align похоже на line. Представь, как ты ставишь элементы в одну линию: align = выравнивать.","Align похоже на line. Представь, как ты ставишь элементы в одну линию: align = выравнивать.","Align the title left.","Выровняй заголовок по левому краю.","Align the icons with the text labels.","Выровняй иконки по текстовым подписям.","📏","new","0","0","2026-02-02"
"design-font","font","шрифт","/fɒnt/","font","Design","easy","Font похоже на «фонд», где хранятся буквы. Представь папку со шрифтами проекта: font = шрифт.","Основной крючок: Font — это набор букв для интерфейса.

Образ: Представь папку, где лежат все шрифты проекта, и ты выбираешь нужный для заголовка.

Формула: Font = шрифт.","This font is easy to read.","Этот шрифт легко читать.","Use the same font in the footer and hero.","Используй один и тот же шрифт в футере и hero.","🔤","new","0","0","2026-02-03"
"design-icon","icon","иконка","/ˈaɪkɒn/","icon","Design","easy","Icon почти как «иконка». Представь маленький значок соцсети в футере: icon = иконка.","Icon почти как «иконка». Представь маленький значок соцсети в футере: icon = иконка.","The icon is small.","Иконка маленькая.","Replace the old social icon in the footer.","Замени старую иконку соцсети в футере.","🔔","new","0","0","2026-02-04"
"design-hero","hero","главный экран; hero-блок","/ˈhɪərəʊ/","hero","Design","easy","Hero — главный герой первого экрана. Представь самый большой верхний блок страницы: hero = hero-блок.","Hero — главный герой первого экрана. Представь самый большой верхний блок страницы: hero = hero-блок.","The hero is bright.","Hero-блок яркий.","The hero needs a stronger headline.","Hero-блоку нужен более сильный заголовок.","🌟","new","0","0","2026-02-05"
"design-template","template","шаблон","/ˈtempleɪt/","template","Design","easy","Template похоже на «темплейт». Представь готовую заготовку страницы, которую ты только наполняешь: template = шаблон.","Template похоже на «темплейт». Представь готовую заготовку страницы, которую ты только наполняешь: template = шаблон.","This template is simple.","Этот шаблон простой.","Use one template for all project pages.","Используй один шаблон для всех страниц проекта.","📑","new","0","0","2026-02-06"
"design-responsive","responsive","адаптивный","/rɪˈspɒnsɪv/","responsive","Design","easy","Responsive — сайт отвечает на размер экрана. Представь, как макет сам подстраивается под телефон: responsive = адаптивный.","Для слова Responsive [rɪˈspɒnsɪv] лучше всего работает идея правильной реакции на размер экрана.

Фонетическая привязка:
- RESPONSE: Responsive — тот, кто отвечает или реагирует. Сайт реагирует на телефон, планшет и десктоп.
- ПОДСТРАИВАЕТСЯ: Представь, как один и тот же блок меняет форму под разную ширину экрана.

Сюжет / Фраза: Макет не ломается, а умно перестраивается: на десктопе широко, на планшете компактнее, на телефоне — в одну колонку.

Визуальный образ: Представь сайт, который сам меняет расположение блоков, как живой конструктор, когда ты сужаешь экран.

Связка (Responsive design): Представь дизайн, который одинаково аккуратно работает на всех устройствах. Responsive design = адаптивный дизайн.

Рабочий контекст: Responsive — одно из самых базовых слов в Webflow и дизайне, потому что почти любой экран проверяют на адаптивность.","The site is responsive.","Сайт адаптивный.","We need a responsive gallery for mobile.","Нам нужна адаптивная галерея для мобильных.","📲","new","0","0","2026-02-07"
"design-margin","margin","внешний отступ","/ˈmɑːdʒɪn/","margin","Design","easy","Margin — это воздух снаружи блока. Представь пустое поле вокруг карточки: margin = внешний отступ.","Margin — это воздух снаружи блока. Представь пустое поле вокруг карточки: margin = внешний отступ.","The margin is too big.","Внешний отступ слишком большой.","Reduce the top margin above the form.","Уменьши верхний внешний отступ над формой.","⬜","new","0","0","2026-02-08"
"design-padding","padding","внутренний отступ","/ˈpædɪŋ/","padding","Design","easy","Padding напоминает мягкую подкладку внутри куртки. Представь воздух внутри кнопки или карточки: padding = внутренний отступ.","Padding напоминает мягкую подкладку внутри куртки. Представь воздух внутри кнопки или карточки: padding = внутренний отступ.","The padding is small.","Внутренний отступ маленький.","Add more padding inside the CTA card.","Добавь больше внутреннего отступа в CTA-карточку.","🪟","new","0","0","2026-02-09"
"design-palette","palette","палитра","/ˈpælət/","palette","Design","easy","Palette похоже на палитру художника. Представь дощечку с цветами бренда: palette = палитра.","Palette похоже на палитру художника. Представь дощечку с цветами бренда: palette = палитра.","The palette is soft.","Палитра мягкая.","The new palette fits the brand better.","Новая палитра лучше подходит бренду.","🖌️","new","0","0","2026-02-10"
"design-frame","frame","фрейм; рамка","/freɪm/","frame","Design","easy","Frame — это рамка или рабочий фрейм. Представь прямоугольную область в Figma, куда ты складываешь блоки: frame = фрейм.","Frame — это рамка или рабочий фрейм. Представь прямоугольную область в Figma, куда ты складываешь блоки: frame = фрейм.","The frame is large.","Фрейм большой.","Put the testimonial card inside one frame.","Помести карточку отзыва в один фрейм.","🪟","new","0","0","2026-02-11"
"comm-update","update","обновление; обновить","/ʌpˈdeɪt/","update","Client Communication","easy","Update — это апдейт, то есть обновление. Представь короткое сообщение клиенту: “Quick update”: update = обновление.","Update — это апдейт, то есть обновление. Представь короткое сообщение клиенту: “Quick update”: update = обновление.","I have an update.","У меня есть обновление.","I will update the layout today.","Я обновлю макет сегодня.","🔄","new","0","0","2026-02-12"
"comm-approve","approve","одобрить","/əˈpruːv/","approve","Client Communication","easy","Approve похоже на жест большим пальцем вверх. Представь клиента, который говорит «одобряю»: approve = одобрить.","Для слова Approve [əˈpruːv] лучше всего работает образ согласования и зелёной галочки от клиента.

Фонетическая привязка:
- АПРУВ: Запомни рабочее звучание «апрув» как одобрение дизайна, текста или сметы.
- ПАЛЕЦ ВВЕРХ: Представь клиента, который ставит лайк под макетом и говорит: «Да, утверждаем».

Сюжет / Фраза: Ты показываешь макет, клиент улыбается и говорит: «Approve». Значит, можно двигаться дальше.

Визуальный образ: Представь карточку дизайна, возле которой появляется зелёная галочка и статус Approved.

Связка (Approve the design): Представь письмо клиенту с просьбой утвердить главную страницу. Approve the design = одобрить дизайн.

Рабочий контекст: Approve часто звучит в проектах, когда нужно официальное подтверждение перед следующей стадией работы.","They approve the plan.","Они одобряют план.","Please approve the new homepage design.","Пожалуйста, одобрите новый дизайн главной страницы.","👍","new","0","0","2026-02-13"
"comm-feedback","feedback","обратная связь","/ˈfiːdbæk/","feedback","Client Communication","easy","Feedback — это то, что возвращают после просмотра. Представь комментарии клиента под макетом: feedback = обратная связь.","Для слова Feedback [ˈfiːdbæk] лучше всего работает разбор feed + back: тебе что-то возвращают в ответ на работу.

Фонетическая привязка:
- FEED BACK: Ты показал макет, а клиент вернул тебе комментарии назад. Это и есть feedback.
- ОБРАТНЫЙ ОТКЛИК: После презентации к тебе возвращается реакция: что нравится, а что надо переделать.

Сюжет / Фраза: Ты отправил дизайн, а в ответ получил список комментариев. Это и есть feedback — то, что тебе вернули после просмотра.

Визуальный образ: Представь экран с макетом, под которым появляются комментарии: «Здесь слишком тесно», «Тут нужен другой заголовок», «Это выглядит лучше».

Связка (Client feedback): Представь комментарии именно от клиента после просмотра страницы. Client feedback = обратная связь от клиента.

Рабочий контекст: Feedback — одно из ключевых слов в клиентской работе: через него обсуждают замечания, реакции и правки.","Your feedback is clear.","Твоя обратная связь понятная.","Thank you for the feedback on the pricing page.","Спасибо за обратную связь по странице pricing.","💬","new","0","0","2026-02-14"
"comm-deadline","deadline","дедлайн","/ˈdedlaɪn/","deadline","Client Communication","easy","Deadline — линия, дальше которой нельзя. Представь красную черту в календаре проекта: deadline = дедлайн.","Для слова Deadline [ˈdedlaɪn] лучше всего работает образ линии в календаре, дальше которой по срокам уже нельзя заходить.

Фонетическая привязка:
- DEAD + LINE: Представь последнюю линию на календаре: после неё срок уже мёртвый, опоздал.
- КРАСНАЯ ЧЕРТА: Вообрази красную вертикальную черту в таймлайне проекта, к которой нужно успеть.

Сюжет / Фраза: Ты смотришь в календарь и понимаешь: после этой даты клиент уже не ждёт, а спрашивает, почему не готово. Это deadline.

Визуальный образ: Представь календарь с выделенной датой запуска сайта и красной чертой, к которой должны быть закрыты все задачи.

Связка (Before the deadline): Представь задачу, которую нужно закрыть до отмеченной красной даты. Before the deadline = до дедлайна.

Рабочий контекст: Deadline — одно из главных слов в переписке с клиентом, потому что вокруг него строятся ожидания, этапы и приоритеты.","The deadline is Friday.","Дедлайн в пятницу.","We can finish the landing page before the deadline.","Мы можем закончить лендинг до дедлайна.","⏰","new","0","0","2026-02-15"
"comm-invoice","invoice","счёт","/ˈɪnvɔɪs/","invoice","Client Communication","easy","Invoice звучит как документ, который отправляют на оплату. Представь PDF со суммой и реквизитами: invoice = счёт.","Invoice звучит как документ, который отправляют на оплату. Представь PDF со суммой и реквизитами: invoice = счёт.","The invoice is ready.","Счёт готов.","I will send the final invoice after launch.","Я отправлю финальный счёт после запуска.","💳","new","0","0","2026-02-16"
"comm-call","call","звонок; созвон","/kɔːl/","call","Client Communication","easy","Call — это колл, созвон. Представь короткий звонок с клиентом на 15 минут: call = звонок.","Call — это колл, созвон. Представь короткий звонок с клиентом на 15 минут: call = звонок.","We have a call at six.","У нас созвон в шесть.","Let us discuss the brief on a short call.","Давай обсудим бриф на коротком созвоне.","📞","new","0","0","2026-02-17"
"comm-meeting","meeting","встреча","/ˈmiːtɪŋ/","meeting","Client Communication","easy","Meeting связано с meet — встречаться. Представь окошки Zoom на экране: meeting = встреча.","Meeting связано с meet — встречаться. Представь окошки Zoom на экране: meeting = встреча.","The meeting is online.","Встреча онлайн.","The design meeting starts in ten minutes.","Встреча по дизайну начнётся через десять минут.","🗓️","new","0","0","2026-02-18"
"comm-revision","revision","правка; ревизия","/rɪˈvɪʒn/","revision","Client Communication","easy","Revision — это новая версия после правок. Представь, что клиент просит ещё один круг изменений: revision = правка.","Revision — это новая версия после правок. Представь, что клиент просит ещё один круг изменений: revision = правка.","This revision is small.","Эта правка небольшая.","The client asked for one more revision of the hero.","Клиент попросил ещё одну правку hero-блока.","✏️","new","0","0","2026-02-19"
"comm-issue","issue","проблема","/ˈɪʃuː/","issue","Client Communication","easy","Issue звучит как «ишью» — что-то мешает. Представь баг в форме, который надо срочно решить: issue = проблема.","Для слова Issue [ˈɪʃuː] в значении «проблема» или «вопрос на решение» лучше всего работают звуковые ассоциации и образ бага, который мешает задаче.

Фонетическая привязка:
- ИЩУ: Представь, что у тебя возникла серьёзная проблема, и ты ходишь со словами: «Ищу решение, ищу выход». (Фраза: «Ищу (issue) решение проблемы».)
- ИШЬ ТЫ!: Вообрази неожиданный баг в форме и свою реакцию: «Ишь ты, какая проблема вылезла».
- И ШУМ: Из-за issue в общем чате поднимается шум: все обсуждают, кто и как будет чинить проблему.

Сюжет / Фраза: «Ищу решение проблемы». У тебя не работает форма, клиент ждёт ответ, а вся команда ищет выход из issue.

Визуальный образ: Представь экран с баг-репортом: сверху крупно написано «Главная проблема дня», а ниже идут шаги воспроизведения и комментарии команды.

Связка (Important issue): Представь важную проблему на проекте, из-за которой вся команда срочно ищет решение до дедлайна.

Рабочий контекст: В IT и проектной работе issue часто называют баг, задачу или проблему, которую нужно решить.","There is one issue.","Есть одна проблема.","There is an issue with the form validation.","Есть проблема с валидацией формы.","⚠️","new","0","0","2026-02-20"
"comm-fix","fix","исправить","/fɪks/","fix","Client Communication","easy","Fix — короткое и резкое слово. Представь, как ты быстро исправляешь баг и пишешь “fixed”: fix = исправить.","Fix — короткое и резкое слово. Представь, как ты быстро исправляешь баг и пишешь “fixed”: fix = исправить.","I can fix it.","Я могу это исправить.","I need to fix the mobile version.","Мне нужно исправить мобильную версию.","🛠️","new","0","0","2026-02-21"
"comm-send","send","отправить","/send/","send","Client Communication","easy","Send — это кнопка отправки. Представь, как ты нажимаешь Send и письмо улетает: send = отправить.","Для слова Send [send] лучше всего работает образ кнопки отправки и момент, когда сообщение «улетает».

Фонетическая привязка:
- SEND-КНОПКА: Представь кнопку Send под письмом или формой. Нажал — и всё сразу ушло адресату.
- СЕНД = ОТПРАВЬ: Запомни рабочее звучание «сенд» как прямую команду в переписке.

Сюжет / Фраза: Ты проверил письмо, прикрепил файл и нажал Send. Сообщение мгновенно улетело клиенту.

Визуальный образ: Представь окно письма с большой кнопкой Send, после нажатия которой письмо стрелой улетает вправо.

Связка (Send the file): Представь рабочее сообщение: «Please send the file today». Send the file = отправь файл.

Рабочий контекст: Send — очень частое слово в чате с клиентом: отправить ссылку, файл, счёт, доступы или обновление.","Please send the file.","Пожалуйста, отправь файл.","Please send the final copy for the hero section.","Пожалуйста, отправь финальный текст для hero-секции.","📤","new","0","0","2026-02-22"
"comm-reply","reply","ответить","/rɪˈplaɪ/","reply","Client Communication","easy","Reply — это ответ в переписке. Представь, что ты жмёшь Reply под сообщением клиента: reply = ответить.","Reply — это ответ в переписке. Представь, что ты жмёшь Reply под сообщением клиента: reply = ответить.","I will reply later.","Я отвечу позже.","Please reply in the client thread today.","Пожалуйста, ответь сегодня в клиентской переписке.","↩️","new","0","0","2026-02-23"
"comm-confirm","confirm","подтвердить","/kənˈfɜːm/","confirm","Client Communication","easy","Confirm — сделать что-то подтверждённым. Представь зелёную галочку рядом с дедлайном: confirm = подтвердить.","Confirm — сделать что-то подтверждённым. Представь зелёную галочку рядом с дедлайном: confirm = подтвердить.","Can you confirm it?","Ты можешь это подтвердить?","Please confirm the deadline for the launch.","Пожалуйста, подтвердите дедлайн запуска.","✔️","new","0","0","2026-02-24"
"seed-basic-accept","accept","принимать","/accept/","accept","Basic A1","easy","Проговори ""accept"" вслух и свяжи его с переводом ""принимать"".","Основной крючок: Accept похоже на «акцепт» — согласие или принятие.

Образ: Представь, что клиент нажимает кнопку согласия и принимает твоё предложение.

Формула: Accept = принять, согласиться.","The word ""accept"" often appears in simple English.","Слово ""accept"" часто встречается в простом английском.","You may see the word ""accept"" in a short work message.","Ты можешь встретить слово ""accept"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-02-25"
"seed-basic-accident","accident","случай","/accident/","accident","Basic A1","easy","Представь простой диалог, где встречается ""accident"", и вспомни перевод ""случай"".","Основной крючок: Accident похоже на «инцидент».

Образ: Представь неожиданную ситуацию на дороге или на проекте, которая случилась случайно.

Формула: Accident = случай, происшествие.","The word ""accident"" is useful for beginner English.","Слово ""accident"" полезно для начинающего уровня английского.","I added the word ""accident"" to today's study list.","Я добавил слово ""accident"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-02-26"
"seed-basic-activity","activity","занятие","/activity/","activity","Basic A1","easy","Проговори ""activity"" вслух и свяжи его с переводом ""занятие"".","Основной крючок: Activity связано с active — быть активным.

Образ: Представь день, полный дел, тренировок и действий.

Формула: Activity = занятие, активность.","I want to remember the word ""activity"" today.","Я хочу запомнить слово ""activity"" сегодня.","The word ""activity"" can appear in a simple client chat.","Слово ""activity"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-02-27"
"seed-basic-address","address","адрес","/address/","address","Basic A1","easy","Представь простой диалог, где встречается ""address"", и вспомни перевод ""адрес"".","Основной крючок: Address похоже на адрес в анкете или письме.

Образ: Представь строку на сайте, куда ты вводишь домашний или рабочий адрес.

Формула: Address = адрес.","The word ""address"" often appears in simple English.","Слово ""address"" часто встречается в простом английском.","You may see the word ""address"" in a short work message.","Ты можешь встретить слово ""address"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-02-28"
"seed-basic-advice","advice","совет","/advice/","advice","Basic A1","easy","Проговори ""advice"" вслух и свяжи его с переводом ""совет"".","Основной крючок: Advice похоже на «эдвайс» — совет от того, кто знает лучше.

Образ: Представь, что дизайнер даёт тебе полезный совет по макету.

Формула: Advice = совет.","The word ""advice"" is useful for beginner English.","Слово ""advice"" полезно для начинающего уровня английского.","I added the word ""advice"" to today's study list.","Я добавил слово ""advice"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-03-01"
